GoalID,MatchID,PlayerName,PlayerTeam,CreditedTeam,Minute,MinuteNumeric,IsOwnGoal,IsPenalty
1,Matchday1_2026-06-11_Mexico_SouthAfrica,Julián Quiñones,Mexico,Mexico,9,9.0,False,False
2,Matchday1_2026-06-11_Mexico_SouthAfrica,Raúl Jiménez,Mexico,Mexico,67,67.0,False,False
3,Matchday1_2026-06-11_SouthKorea_CzechRepublic,Hwang In-Beom,South Korea,South Korea,67,67.0,False,False
4,Matchday1_2026-06-11_SouthKorea_CzechRepublic,Oh Hyeon-Gyu,South Korea,South Korea,80,80.0,False,False
5,Matchday1_2026-06-11_SouthKorea_CzechRepublic,Ladislav Krejcí,Czech Republic,Czech Republic,59,59.0,False,False
6,Matchday8_2026-06-18_CzechRepublic_SouthAfrica,Michal Sadílek,Czech Republic,Czech Republic,6,6.0,False,False
7,Matchday8_2026-06-18_CzechRepublic_SouthAfrica,Teboho Mokoena,South Africa,South Africa,83,83.0,False,True
8,Matchday8_2026-06-18_Mexico_SouthKorea,Luis Romo,Mexico,Mexico,50,50.0,False,False
9,Matchday14_2026-06-24_CzechRepublic_Mexico,Mateo Chávez,Mexico,Mexico,55,55.0,False,False
10,Matchday14_2026-06-24_CzechRepublic_Mexico,Julián Quiñones,Mexico,Mexico,61,61.0,False,False
11,Matchday14_2026-06-24_CzechRepublic_Mexico,Álvaro Fidalgo,Mexico,Mexico,90+4,90.04,False,False
12,Matchday14_2026-06-24_SouthAfrica_SouthKorea,Thapelo Maseko,South Africa,South Africa,63,63.0,False,False
13,Matchday2_2026-06-12_Canada_Bosnia&Herzegovina,Cyle Larin,Canada,Canada,78,78.0,False,False
14,Matchday2_2026-06-12_Canada_Bosnia&Herzegovina,Jovo Lukić,Bosnia & Herzegovina,Bosnia & Herzegovina,21,21.0,False,False
15,Matchday3_2026-06-13_Qatar_Switzerland,Miro Muheim,Qatar,Switzerland,90+4,90.04,True,False
16,Matchday3_2026-06-13_Qatar_Switzerland,Breel Embolo,Switzerland,Switzerland,17,17.0,False,True
17,Matchday8_2026-06-18_Switzerland_Bosnia&Herzegovina,Johan Manzambi,Switzerland,Switzerland,74,74.0,False,False
18,Matchday8_2026-06-18_Switzerland_Bosnia&Herzegovina,Johan Manzambi,Switzerland,Switzerland,90,90.0,False,False
19,Matchday8_2026-06-18_Switzerland_Bosnia&Herzegovina,Rubén Vargas,Switzerland,Switzerland,84,84.0,False,False
20,Matchday8_2026-06-18_Switzerland_Bosnia&Herzegovina,Granit Xhaka,Switzerland,Switzerland,90+7,90.07,False,True
21,Matchday8_2026-06-18_Switzerland_Bosnia&Herzegovina,Ermin Mahmic,Bosnia & Herzegovina,Bosnia & Herzegovina,90+3,90.03,False,False
22,Matchday8_2026-06-18_Canada_Qatar,Cyle Larin,Canada,Canada,16,16.0,False,False
23,Matchday8_2026-06-18_Canada_Qatar,Jonathan David,Canada,Canada,29,29.0,False,False
24,Matchday8_2026-06-18_Canada_Qatar,Jonathan David,Canada,Canada,45+3,45.03,False,False
25,Matchday8_2026-06-18_Canada_Qatar,Nathan Saliba,Canada,Canada,64,64.0,False,False
26,Matchday8_2026-06-18_Canada_Qatar,Mohamed Manai,Canada,Qatar,75,75.0,True,False
27,Matchday8_2026-06-18_Canada_Qatar,Jonathan David,Canada,Canada,90+2,90.02,False,False
28,Matchday14_2026-06-24_Switzerland_Canada,Rubén Vargas,Switzerland,Switzerland,46,46.0,False,False
29,Matchday14_2026-06-24_Switzerland_Canada,Johan Manzambi,Switzerland,Switzerland,57,57.0,False,False
30,Matchday14_2026-06-24_Switzerland_Canada,Promise David,Canada,Canada,76,76.0,False,False
31,Matchday14_2026-06-24_Bosnia&Herzegovina_Qatar,Kerim Alajbegovic,Bosnia & Herzegovina,Bosnia & Herzegovina,29,29.0,False,False
32,Matchday14_2026-06-24_Bosnia&Herzegovina_Qatar,Mahmoud Abunada,Bosnia & Herzegovina,Qatar,34,34.0,True,False
33,Matchday14_2026-06-24_Bosnia&Herzegovina_Qatar,Ermin Mahmic,Bosnia & Herzegovina,Bosnia & Herzegovina,80,80.0,False,False
34,Matchday14_2026-06-24_Bosnia&Herzegovina_Qatar,Hassan Al-Haydos,Qatar,Qatar,42,42.0,False,False
35,Matchday3_2026-06-13_Brazil_Morocco,Vinícius Júnior,Brazil,Brazil,32,32.0,False,False
36,Matchday3_2026-06-13_Brazil_Morocco,Ismael Saibari,Morocco,Morocco,21,21.0,False,False
37,Matchday3_2026-06-13_Haiti_Scotland,John McGinn,Scotland,Scotland,28,28.0,False,False
38,Matchday9_2026-06-19_Scotland_Morocco,Ismael Saibari,Morocco,Morocco,2,2.0,False,False
