MatchID,TeamName,HomeAway
Matchday1_2026-06-11_Mexico_SouthAfrica,Mexico,Team1
Matchday1_2026-06-11_Mexico_SouthAfrica,South Africa,Team2
Matchday1_2026-06-11_SouthKorea_CzechRepublic,South Korea,Team1
Matchday1_2026-06-11_SouthKorea_CzechRepublic,Czech Republic,Team2
Matchday8_2026-06-18_CzechRepublic_SouthAfrica,Czech Republic,Team1
Matchday8_2026-06-18_CzechRepublic_SouthAfrica,South Africa,Team2
Matchday8_2026-06-18_Mexico_SouthKorea,Mexico,Team1
Matchday8_2026-06-18_Mexico_SouthKorea,South Korea,Team2
Matchday14_2026-06-24_CzechRepublic_Mexico,Czech Republic,Team1
Matchday14_2026-06-24_CzechRepublic_Mexico,Mexico,Team2
Matchday14_2026-06-24_SouthAfrica_SouthKorea,South Africa,Team1
Matchday14_2026-06-24_SouthAfrica_SouthKorea,South Korea,Team2
Matchday2_2026-06-12_Canada_Bosnia&Herzegovina,Canada,Team1
Matchday2_2026-06-12_Canada_Bosnia&Herzegovina,Bosnia & Herzegovina,Team2
Matchday3_2026-06-13_Qatar_Switzerland,Qatar,Team1
Matchday3_2026-06-13_Qatar_Switzerland,Switzerland,Team2
Matchday8_2026-06-18_Switzerland_Bosnia&Herzegovina,Switzerland,Team1
Matchday8_2026-06-18_Switzerland_Bosnia&Herzegovina,Bosnia & Herzegovina,Team2
Matchday8_2026-06-18_Canada_Qatar,Canada,Team1
Matchday8_2026-06-18_Canada_Qatar,Qatar,Team2
Matchday14_2026-06-24_Switzerland_Canada,Switzerland,Team1
Matchday14_2026-06-24_Switzerland_Canada,Canada,Team2
Matchday14_2026-06-24_Bosnia&Herzegovina_Qatar,Bosnia & Herzegovina,Team1
Matchday14_2026-06-24_Bosnia&Herzegovina_Qatar,Qatar,Team2
Matchday3_2026-06-13_Brazil_Morocco,Brazil,Team1
Matchday3_2026-06-13_Brazil_Morocco,Morocco,Team2
Matchday3_2026-06-13_Haiti_Scotland,Haiti,Team1
Matchday3_2026-06-13_Haiti_Scotland,Scotland,Team2
Matchday9_2026-06-19_Scotland_Morocco,Scotland,Team1
Matchday9_2026-06-19_Scotland_Morocco,Morocco,Team2
Matchday9_2026-06-19_Brazil_Haiti,Brazil,Team1
Matchday9_2026-06-19_Brazil_Haiti,Haiti,Team2
Matchday14_2026-06-24_Scotland_Brazil,Scotland,Team1
Matchday14_2026-06-24_Scotland_Brazil,Brazil,Team2
Matchday14_2026-06-24_Morocco_Haiti,Morocco,Team1
Matchday14_2026-06-24_Morocco_Haiti,Haiti,Team2
Matchday2_2026-06-12_USA_Paraguay,USA,Team1
Matchday2_2026-06-12_USA_Paraguay,Paraguay,Team2
Matchday3_2026-06-13_Australia_Turkey,Australia,Team1
Matchday3_2026-06-13_Australia_Turkey,Turkey,Team2
Matchday9_2026-06-19_USA_Australia,USA,Team1
Matchday9_2026-06-19_USA_Australia,Australia,Team2
Matchday9_2026-06-19_Turkey_Paraguay,Turkey,Team1
Matchday9_2026-06-19_Turkey_Paraguay,Paraguay,Team2
Matchday15_2026-06-25_Turkey_USA,Turkey,Team1
Matchday15_2026-06-25_Turkey_USA,USA,Team2
Matchday15_2026-06-25_Paraguay_Australia,Paraguay,Team1
Matchday15_2026-06-25_Paraguay_Australia,Australia,Team2
Matchday4_2026-06-14_Germany_Curaçao,Germany,Team1
Matchday4_2026-06-14_Germany_Curaçao,Curaçao,Team2
Matchday4_2026-06-14_IvoryCoast_Ecuador,Ivory Coast,Team1
Matchday4_2026-06-14_IvoryCoast_Ecuador,Ecuador,Team2
Matchday10_2026-06-20_Germany_IvoryCoast,Germany,Team1
Matchday10_2026-06-20_Germany_IvoryCoast,Ivory Coast,Team2
Matchday10_2026-06-20_Ecuador_Curaçao,Ecuador,Team1
Matchday10_2026-06-20_Ecuador_Curaçao,Curaçao,Team2
Matchday15_2026-06-25_Curaçao_IvoryCoast,Curaçao,Team1
Matchday15_2026-06-25_Curaçao_IvoryCoast,Ivory Coast,Team2
